"recid","delta","age","hsged","yearearn","white","children","jtpa","treatment","single","male","days"
300730,1,20,0,5000,1,1,1,1,1,0,86
300740,1,72,0,6000,1,0,0,0,0,1,128
300743,1,25,0,6300,1,0,0,0,1,1,6
300744,0,25,0,5000,0,0,0,0,1,1,598
300747,1,35,0,0,1,1,0,0,0,0,290
300750,1,26,1,554,0,0,1,1,1,1,81
300751,0,30,0,3000,0,0,0,0,1,1,522
300752,1,25,0,3880,1,1,0,0,1,0,154
300759,1,51,0,2500,1,0,0,0,0,1,274
300763,0,31,1,0,1,1,1,1,0,0,629
300764,1,38,0,1500,1,0,0,0,0,1,332
300766,1,29,1,4000,0,0,1,1,1,1,28
300767,1,29,0,128,1,1,1,1,0,0,185
300769,1,27,1,2300,1,1,0,0,0,0,105
300770,1,27,0,0,0,0,1,1,1,1,75
300775,1,17,0,0,0,0,0,0,1,1,89
300779,1,29,1,8004,0,1,0,0,0,0,49
300781,1,16,0,2000,1,0,0,1,1,1,241
300785,1,19,0,2078,0,0,1,1,1,1,198
300792,1,31,1,3500,1,1,0,0,0,1,46
300793,1,27,0,16872,0,0,1,1,1,1,380
300796,1,40,0,0,1,1,0,0,0,0,431
300797,1,36,1,0,1,1,1,1,1,0,149
300802,1,35,1,0,1,1,1,1,0,0,149
300803,1,43,0,0,1,0,1,1,0,0,125
300804,1,51,0,5400,1,1,0,1,0,0,119
300809,1,19,1,750,0,0,1,1,1,0,238
300812,1,38,0,2400,1,1,0,0,0,0,520
300814,1,30,0,10125,1,0,1,1,1,0,388
300815,0,33,0,0,1,1,0,1,0,0,590
300819,1,37,1,6300,0,0,1,0,1,1,65
300820,1,40,1,192,1,1,0,0,0,1,276
300821,1,21,1,3000,0,1,1,1,1,0,45
300823,1,28,1,11000,1,0,0,0,1,1,51
300825,1,42,1,12000,1,1,1,0,0,1,141
300826,1,30,0,550,1,1,1,1,0,0,44
300833,1,34,0,0,0,1,0,0,0,1,104
300838,1,36,0,4985,1,1,1,1,0,0,290
300840,1,32,1,0,1,1,0,1,0,0,21
300843,0,37,1,0,0,0,1,1,0,0,548
300847,1,19,1,0,1,0,0,0,1,1,398
300849,1,19,0,1000,1,0,0,1,1,1,397
300851,1,28,0,1900,1,0,1,1,0,0,70
300853,1,29,0,2689,1,1,1,1,0,1,40
300861,1,17,1,520,1,0,1,1,1,0,98
300862,1,22,0,2500,1,1,0,1,0,0,40
300866,1,41,0,1800,1,1,1,1,0,0,31
300867,1,23,1,1312,0,1,0,0,0,0,59
300872,1,24,1,500,0,1,1,1,0,0,17
300874,1,20,1,250,0,1,1,1,1,0,113
300875,1,19,1,12000,1,1,0,0,0,0,98
300878,1,18,0,800,1,1,1,1,1,0,643
300880,0,31,1,0,1,1,0,0,1,0,691
300888,1,26,1,8050,1,1,1,1,0,0,88
300889,1,47,1,17000,1,1,1,1,0,0,558
300893,1,69,0,0,0,0,1,0,0,1,52
300894,0,28,0,0,0,1,1,0,0,0,616
300897,1,18,1,780,1,0,1,1,1,0,146
300898,1,30,0,11000,1,1,0,1,0,0,34
300900,0,46,1,0,0,0,0,0,1,0,742
300903,0,25,1,0,0,0,1,1,1,1,451
300905,1,31,0,3000,1,0,0,1,0,1,35
300907,0,18,1,1400,1,0,1,1,1,1,547
300914,1,18,1,0,0,0,0,1,1,0,362
300916,1,38,0,0,0,1,0,1,0,0,29
300918,1,54,1,0,1,1,1,1,0,0,177
300919,0,18,1,1400,1,0,1,0,1,1,620
300926,1,19,1,0,0,0,1,1,1,1,590
300927,1,22,0,0,0,1,0,1,0,0,334
300929,1,25,0,1500,0,1,0,0,0,0,533
300944,0,37,0,0,1,1,1,1,0,0,1253
300949,0,21,0,0,1,1,0,0,0,0,1303
300952,0,21,0,105,0,1,0,1,0,0,795
300953,1,26,1,3289,0,1,1,1,0,0,182
300960,1,20,1,858,1,0,1,0,1,1,57
